file_name,package,minor,major,total,ownership,num_of_bugs
BooleanTopLevelScorers.java,org.apache.lucene.search,0,0,1,1.0,0
StoredDocument.java,org.apache.lucene.index,0,0,1,1.0,0
BlockPackedReaderIterator.java,org.apache.lucene.util.packed,0,0,1,1.0,0
LiveIndexWriterConfig.java,org.apache.lucene.index,0,3,4,0.4444444444444444,3
FrozenBufferedUpdates.java,org.apache.lucene.index,0,3,4,0.4,0
Document.java,org.apache.lucene.document,0,1,2,0.8333333333333334,0
UsageTrackingFilterCachingPolicy.java,org.apache.lucene.search,0,0,1,1.0,0
BlockTreeTermsWriter.java,org.apache.lucene.codecs.blocktree,0,3,4,0.6666666666666666,1
NumericDocValuesFieldUpdates.java,org.apache.lucene.index,0,1,2,0.8,0
FieldComparator.java,org.apache.lucene.search,0,3,4,0.5384615384615384,0
DocValuesFieldUpdates.java,org.apache.lucene.index,0,1,2,0.75,0
DoubleField.java,org.apache.lucene.document,0,2,3,0.6,0
SimilarityBase.java,org.apache.lucene.search.similarities,0,1,2,0.5,2
MultiTerms.java,org.apache.lucene.index,0,2,3,0.3333333333333333,0
PerFieldDocValuesFormat.java,org.apache.lucene.codecs.perfield,0,2,3,0.7,0
DocValuesFormat.java,org.apache.lucene.codecs,0,0,1,1.0,2
